@relation test_nov-1-30

@attribute ip numeric
@attribute ' rt_w/o_ACK' numeric
@attribute ' rt_under_3' numeric
@attribute ' max_ips_1sub' numeric
@attribute ' max_high' numeric
@attribute ' max_low' numeric
@attribute ' max_cnsc_high' numeric
@attribute ' max_cnsc_low' numeric
@attribute ' num_uniq_dsts' numeric
@attribute ' num_uniq_srcp' numeric
@attribute ' avg_srcp/dst' numeric
@attribute ' rt_std_flags' numeric
@attribute ' rt_over_60' numeric
@attribute ' med_pack/dst' numeric
@attribute ' rt_std_pttrn' numeric
@attribute ' rt_bksctr_pttrn' numeric
@attribute ' rt_dst' numeric
@attribute ' rt_srcp' numeric
@attribute ' rt_bksctr_flags' numeric
@attribute ' min_pack' numeric
@attribute ' max_pack' numeric
@attribute ' mean_pack' numeric
@attribute ' std_dev_pack' numeric
@attribute ' min_dur' numeric
@attribute ' max_dur' numeric
@attribute ' mean_dur' numeric
@attribute ' std_dev_dur' numeric
@attribute ' min_bytes' numeric
@attribute ' max_bytes' numeric
@attribute ' mean_bytes' numeric
@attribute ' std_dev_bytes' numeric
@attribute ' min_bpp' numeric
@attribute ' max_bpp' numeric
@attribute ' mean_bpp' numeric
@attribute ' std_dev_bpp' numeric
@attribute ' tcp_count' numeric
@attribute ' udp_count' numeric
@attribute ' label' numeric

@data
1792665,1,1,2,0,1,1,1,140,137,1,0,0,2,0,0,1,0.978571,0,2,2,2,0,2.816,3.072,2.941486,0.063046,96,96,96,0,48,48,48,0,140,0,1
1793128,1,1,2,0,1,1,1,187,182,1.005348,0,0,2,0,0,0.994681,0.968085,0,2,2,2,0,2.816,3.072,2.963404,0.053782,96,96,96,0,48,48,48,0,188,0,1
1793486,1,1,2,0,1,1,1,116,113,1,0,0,2,0,0,1,0.974138,0,2,2,2,0,2.848,3.136,2.966069,0.056212,96,96,96,0,48,48,48,0,116,0,1
1793833,1,1,2,0,1,1,1,128,125,1,0,0,2,0,0,1,0.976563,0,2,2,2,0,2.816,3.072,2.949,0.054805,96,96,96,0,48,48,48,0,128,0,1
1794100,1,1,2,0,1,1,1,407,389,1.002457,0,0,2,0,0,0.997549,0.953431,0,2,2,2,0,2.816,3.072,2.948784,0.049451,96,96,96,0,48,48,48,0,408,0,1
1794374,1,1,2,0,1,1,1,303,293,1.0033,0,0,2,0,0,0.996711,0.963816,0,1,2,1.993421,0.080491,0,3.072,2.938,0.242928,48,96,95.684211,3.863556,48,48,48,0,304,0,1
1794658,1,1,2,0,1,1,1,242,234,1,0,0,2,0,0,1,0.966942,0,1,2,1.991736,0.089874,0,3.072,2.933025,0.271194,48,96,95.603306,4.313968,48,48,48,0,242,0,1
1795443,1,1,2,0,1,1,1,63,63,1,0,0,2,0,0,1,1,0,2,2,2,0,2.816,3.04,2.950095,0.047078,96,96,96,0,48,48,48,0,63,0,1
1795500,1,1,2,0,1,1,1,149,148,1,0,0,2,0,0,1,0.993289,0,2,2,2,0,2.816,3.136,2.954094,0.057793,96,96,96,0,48,48,48,0,149,0,1
1795584,1,1,2,0,1,1,1,124,124,1,0,0,2,0,0,1,1,0,2,2,2,0,2.816,3.168,2.955355,0.056049,96,96,96,0,48,48,48,0,124,0,1
1795886,1,0.987552,2,0,1,1,1,240,234,1.004167,0,0,2,0,0,0.995851,0.970954,0,2,3,2.012448,0.110435,2.816,8.96,3.037743,0.664067,96,144,96.59751,5.300878,48,48,48,0,241,0,1
1795913,1,1,2,0,1,1,1,96,95,1.010417,0,0,2,0,0,0.989691,0.979381,0,2,2,2,0,2.816,3.168,2.970062,0.06678,96,96,96,0,48,48,48,0,97,0,1
1795958,1,1,2,1,1,1,1,109,106,1.009174,0,0.084034,2,0,0,0.915966,0.890756,0,1,2,1.915966,0.273744,0,3.072,2.706017,0.810398,96,345,113.865546,60.867541,48,345,69.89916,73.568124,109,10,1
1796194,1,1,1,0,1,1,1,95,95,1,0,0,2,0,0,1,1,0,2,2,2,0,2.816,3.008,2.948716,0.044686,104,104,104,0,52,52,52,0,95,0,1
1796739,1,1,2,0,1,1,1,98,97,1,0,0,2,0,0,1,0.989796,0,1,2,1.989796,0.099686,0,3.136,2.918531,0.300443,48,96,95.510204,4.784914,48,48,48,0,98,0,1
1796764,1,1,3,0,1,1,1,344,329,1,0,0,2,0,0,1,0.956395,0,1,2,1.965116,0.182979,0,3.136,2.857953,0.54452,48,96,94.325581,8.783,48,48,48,0,344,0,1
1797014,1,1,1,1,0,1,1,6,1,1,0,1,2,0,0,0.176471,0.029412,0,1,1,1,0,0,0,0,0,81,300,170.735294,75.15124,81,300,170.735294,75.15124,0,34,1
1797025,1,0.962963,2,0,1,1,1,162,162,1,0,0,2,0,0,1,1,0,2,3,2.037037,0.187897,2.752,8.928,3.171556,1.114775,104,156,105.925926,9.770666,52,52,52,0,162,0,1
